,TwitterDownsampled
0,179.619
1,178.239545455
2,169.489727273
3,168.003454545
4,164.311545455
5,161.318636364
6,163.102454545
7,157.168636364
8,151.641272727
9,152.338909091
10,145.319090909
11,127.962818182
12,134.204272727
13,127.027363636
14,117.115545455
15,114.485454545
16,107.297372727
17,103.438090909
18,100.422472727
19,96.2312818182
20,93.9340545455
21,92.8987545455
22,90.6081909091
23,88.8741454545
24,85.1513181818
25,85.2223363636
26,86.6498454545
27,84.3548
28,80.4743818182
29,82.8320727273
30,83.7527727273
31,82.2614545455
32,81.9733363636
33,80.7915272727
34,82.0702909091
35,83.2932454545
36,81.5203454545
37,80.1809363636
38,83.3133181818
39,85.1099
40,86.8981
41,90.7493454545
42,97.7169181818
43,100.598518182
44,100.3503
45,106.174090909
46,107.226736364
47,107.804454545
48,107.408363636
49,108.136909091
50,106.410363636
51,102.728545455
52,100.571063636
53,103.316081818
54,94.6965545455
55,87.8600545455
56,100.031009091
57,127.995909091
58,128.685636364
59,123.897818182
60,118.358181818
61,107.146709091
62,106.600054545
63,103.3848
64,107.734727273
65,105.351890909
66,107.281090909
67,109.010454545
68,108.996181818
69,110.399818182
70,112.014909091
71,112.763090909
72,113.532363636
73,113.792545455
74,113.065727273
75,114.130545455
76,110.1
77,107.798363636
78,104.793227273
79,100.464818182
80,100.838527273
81,96.2326272727
82,92.3905090909
83,93.1160818182
84,91.7896181818
85,89.1705636364
86,91.5433181818
87,91.4409181818
88,92.1688818182
89,91.2165818182
90,92.0235181818
91,92.3793363636
92,95.5391636364
93,94.3111272727
94,96.7597727273
95,96.1347272727
96,94.2439818182
97,96.0339
98,98.0165545455
99,98.5554
100,99.3058636364
101,97.5053727273
102,98.0263818182
103,98.7858272727
104,100.304127273
105,105.503818182
106,106.057672727
107,109.835818182
108,116.718181818
109,119.971090909
110,119.529727273
111,124.407454545
112,129.683
113,130.820636364
114,132.735090909
115,136.233090909
116,142.219090909
117,141.310181818
118,139.173363636
119,142.440272727
120,147.200545455
121,151.074909091
122,152.935181818
123,154.310545455
124,156.789272727
125,158.03
126,157.017818182
127,164.452181818
128,161.391090909
129,161.124272727
130,167.487181818
131,172.097636364
132,172.885363636
133,170.156454545
134,166.121909091
135,164.326272727
136,165.911454545
137,162.714545455
138,156.956363636
139,153.264363636
140,151.657545455
141,144.637727273
142,145.489
143,138.759090909
144,128.954909091
145,126.254909091
146,122.845545455
147,118.672090909
148,119.211181818
149,113.818181818
150,111.695454545
151,111.384363636
152,107.136172727
153,103.572109091
154,101.0679
155,99.1395363636
156,97.7351454545
157,94.7564090909
158,97.5897363636
159,95.4200272727
160,93.7434636364
161,90.3836181818
162,90.9394181818
163,87.4137181818
164,94.5085818182
165,91.8350545455
166,91.4421
167,90.0363
168,88.2982636364
169,93.4282454545
170,94.2158090909
171,95.4352727273
172,93.2600090909
173,93.5223181818
174,94.5723181818
175,95.1838
176,95.3959454545
177,96.6135727273
178,96.8598272727
179,98.3903818182
180,106.147836364
181,108.872363636
182,105.488190909
183,115.121363636
184,119.514363636
185,130.010181818
186,126.022909091
187,114.635454545
188,113.872
189,112.537727273
190,114.064909091
191,116.453909091
192,118.938272727
193,115.152909091
194,114.534090909
195,116.208909091
196,116.228090909
197,118.411636364
198,117.944
199,117.922
200,121.011090909
201,118.465
202,121.338090909
203,120.84
204,121.493090909
205,121.547090909
206,118.183
207,119.909363636
208,122.410454545
209,119.228
210,122.054181818
211,118.239454545
212,111.303181818
213,112.697818182
214,112.327090909
215,108.330727273
216,107.164272727
217,105.508636364
218,108.865545455
219,108.318818182
220,103.673463636
221,100.959772727
222,104.128390909
223,104.7062
224,101.724845455
225,105.929090909
226,107.671727273
227,107.047272727
228,107.103727273
229,107.855363636
230,110.249909091
231,111.937818182
232,108.658636364
233,112.708272727
234,117.183727273
235,115.332272727
236,117.322818182
237,117.545
238,120.390272727
239,121.886545455
240,123.017272727
241,123.717727273
242,126.403
243,123.372636364
244,128.993363636
245,130.562090909
246,132.469
247,136.441363636
248,142.902181818
249,144.315454545
250,149.434
251,149.773909091
252,152.802454545
253,156.319454545
254,157.105181818
255,159.250363636
256,165.139090909
257,169.261636364
258,167.450454545
259,171.727090909
260,171.849181818
261,173.266727273
262,174.817090909
263,178.888090909
264,178.210545455
265,173.756090909
266,173.405545455
267,174.412636364
268,175.227
269,171.840909091
270,173.672090909
271,171.363818182
272,163.192
273,157.595818182
274,154.217727273
275,151.431272727
276,143.090818182
277,133.100818182
278,132.155
279,132.278818182
280,128.012272727
281,120.167090909
282,119.298363636
283,115.870454545
284,115.181818182
285,112.201727273
286,107.1854
287,104.215727273
288,104.294818182
289,105.249027273
290,106.701172727
291,100.427254545
292,95.7841909091
293,96.3460181818
294,94.3081454545
295,94.8086909091
296,94.1486545455
297,93.5196
298,91.3780636364
299,86.7075636364
300,91.8528727273
301,93.2898545455
302,94.2046
303,91.2056727273
304,94.9818090909
305,95.4785818182
306,99.3420363636
307,98.8590909091
308,98.9579909091
309,98.7057454545
310,98.4449
311,100.730109091
312,101.463627273
313,101.432645455
314,101.277245455
315,101.8299
316,106.087036364
317,104.758181818
318,103.972727273
319,105.374572727
320,105.726363636
321,108.302909091
322,109.048090909
323,111.616818182
324,111.392909091
325,112.232454545
326,111.844
327,114.265272727
328,114.348545455
329,115.163727273
330,118.457454545
331,118.217181818
332,118.864363636
333,118.102909091
334,119.671818182
335,121.396454545
336,120.422909091
337,122.314727273
338,118.766636364
339,118.898454545
340,120.542090909
341,116.720545455
342,115.324272727
343,114.789090909
344,113.161636364
345,114.052181818
346,111.807636364
347,111.649272727
348,111.444363636
349,111.195545455
350,111.560818182
351,110.825636364
352,108.958727273
353,109.698090909
354,108.976545455
355,108.987272727
356,109.517727273
357,109.457727273
358,111.429454545
359,109.446636364
360,114.787636364
361,114.573
362,114.473909091
363,112.440181818
364,117.726090909
365,114.571636364
366,114.264
367,117.659363636
368,119.361
369,120.748
370,124.647636364
371,122.745272727
372,125.465090909
373,129.319636364
374,128.149454545
375,133.135272727
376,132.926818182
377,137.379363636
378,139.937636364
379,140.813727273
380,146.028545455
381,150.911272727
382,149.527727273
383,157.032636364
384,158.355454545
385,155.154090909
386,160.803727273
387,163.515545455
388,167.445636364
389,168.017090909
390,168.898
391,172.209363636
392,175.883090909
393,173.085090909
394,175.055636364
395,174.457181818
396,170.889090909
397,171.691909091
398,174.532545455
399,163.063636364
400,158.496727273
401,157.425272727
402,152.394909091
403,148.356454545
404,141.039909091
405,143.221090909
406,137.841181818
407,130.923909091
408,126.943454545
409,124.08
410,122.500545455
411,123.101
412,117.857181818
413,111.509090909
414,109.118
415,109.832909091
416,104.5
417,102.406409091
418,96.5778272727
419,92.1169727273
420,97.4225181818
421,99.4108090909
422,99.2764818182
423,98.7043727273
424,91.9672727273
425,92.8597181818
426,97.4221818182
427,92.5530545455
428,95.3218363636
429,94.1115
430,92.1577727273
431,95.8604363636
432,98.5708636364
433,99.381
434,99.8625909091
435,101.433009091
436,107.113809091
437,109.235636364
438,109.172909091
439,116.014636364
440,112.595818182
441,110.833090909
442,109.043636364
443,105.534727273
444,105.445890909
445,104.555554545
446,106.184454545
447,105.683909091
448,105.601609091
449,104.434218182
450,109.850454545
451,110.284909091
452,107.784
453,108.127454545
454,108.937363636
455,109.105909091
456,111.603909091
457,111.263090909
458,112.799454545
459,113.816363636
460,114.937727273
461,114.758909091
462,117.877818182
463,116.484636364
464,113.751818182
465,123.336727273
466,123.692181818
467,117.698090909
468,120.254909091
469,117.536272727
470,113.738545455
471,111.517181818
472,105.410636364
473,104.281545455
474,102.474881818
475,109.236818182
476,107.653363636
477,111.519545455
478,103.339609091
479,103.800081818
480,103.987427273
481,109.233181818
482,106.087054545
483,107.815690909
484,99.5364636364
485,101.065490909
486,101.170154545
487,102.425709091
488,101.347554545
489,100.723436364
490,101.581745455
491,103.9866
492,110.644363636
493,110.156545455
494,108.849909091
495,110.808545455
496,111.133636364
497,113.473909091
498,116.016
499,116.740545455
500,120.855636364
501,128.505727273
502,125.961363636
503,129.300272727
504,131.453909091
505,132.444
506,136.108363636
507,138.984545455
508,141.982090909
509,144.423363636
510,146.992454545
511,146.900090909
512,150.573818182
513,152.560454545
514,159.591454545
515,159.322545455
516,160.895090909
517,161.334
518,166.032818182
519,169.291454545
520,174.477454545
521,183.711909091
522,174.341181818
523,173.935272727
524,175.278454545
525,173.832545455
526,175.404818182
527,174.934818182
528,175.294454545
529,168.84
530,167.425090909
531,162.527545455
532,153.817181818
533,151.458363636
534,143.576727273
535,142.774909091
536,141.621181818
537,129.646727273
538,129.126818182
539,120.987
540,125.443454545
541,122.869
542,113.886
543,107.724818182
544,112.259818182
545,107.792145455
546,109.705272727
547,102.7081
548,100.074109091
549,98.6139818182
550,93.1646727273
551,96.9417636364
552,92.7480090909
553,87.4704636364
554,86.3320818182
555,86.3997909091
556,93.8711909091
557,97.2627454545
558,94.3630363636
559,95.0308
560,103.143627273
561,93.2439909091
562,99.2273272727
563,109.664818182
564,121.415909091
565,134.535818182
566,130.207363636
567,138.169
568,127.237090909
569,110.703090909
570,112.907181818
571,112.201363636
572,110.293181818
573,112.401909091
574,110.559454545
575,108.777636364
576,107.318027273
577,105.352436364
578,108.094172727
579,112.287727273
580,109.692318182
581,108.409
582,109.914818182
583,107.383627273
584,112.122454545
585,112.612636364
586,110.475363636
587,111.060181818
588,108.792
589,110.824909091
590,117.843
591,118.041636364
592,117.942545455
593,118.916454545
594,116.663818182
595,122.486727273
596,122.974090909
597,124.356727273
598,122.890909091
599,119.154818182
600,119.743727273
601,115.416
602,110.761272727
603,105.1791
604,106.072636364
605,100.391090909
606,98.4946545455
607,97.8901363636
608,95.7732545455
609,95.7846
610,95.8027636364
611,96.4487454545
612,97.2570272727
613,92.2079454545
614,90.7588090909
615,91.2802454545
616,91.5318363636
617,95.1622909091
618,97.4435636364
619,97.7335818182
620,97.2401
621,97.0514636364
622,97.7531
623,100.9925
624,102.036509091
625,101.276
626,103.359545455
627,105.752090909
628,107.313454545
629,109.313181818
630,114.126454545
631,114.491636364
632,118.336363636
633,117.876090909
634,123.410090909
635,122.887636364
636,125.890363636
637,127.275545455
638,130.272363636
639,134.389363636
640,133.656181818
641,139.249090909
642,146.564454545
643,148.652181818
644,145.818272727
645,152.539
646,151.588818182
647,154.108818182
648,159.485363636
649,164.422545455
650,165.441363636
651,167.109818182
652,165.389545455
653,167.008727273
654,169.611272727
655,167.241090909
656,170.765636364
657,170.939909091
658,166.217818182
659,163.599909091
660,168.321272727
661,162.398818182
662,152.518090909
663,146.313909091
664,142.871545455
665,142.687272727
666,146.133636364
667,134.425090909
668,128.902454545
669,126.752909091
670,123.373454545
671,122.095636364
672,128.726454545
673,122.200454545
674,80.9492181818
675,38.2525272727
676,28.9264909091
677,25.3627636364
678,24.9762
679,28.3687545455
680,37.8568181818
681,85.8945818182
682,108.007518182
683,102.094163636
684,103.785609091
685,99.0695909091
686,96.2809181818
687,98.1681454545
688,121.4454
689,163.035545455
690,186.873090909
691,185.874090909
692,163.649090909
693,116.060409091
694,105.953772727
695,105.5034
696,103.338518182
697,106.017727273
698,109.936263636
699,114.487727273
700,113.133818182
701,113.622545455
702,115.407545455
703,114.057
704,115.189090909
705,113.976636364
706,110.093
707,110.698818182
708,102.264445455
709,107.069054545
710,109.738009091
711,106.558709091
712,104.992663636
713,108.266545455
714,105.243827273
715,111.582454545
716,111.659090909
717,111.538818182
718,109.072545455
719,107.856545455
720,112.200727273
721,115.304818182
722,115.836545455
723,114.669727273
724,115.872909091
725,117.567363636
726,121.553636364
727,122.574727273
728,119.514454545
729,124.091818182
730,120.453636364
731,118.714454545
732,116.922090909
733,109.588936364
734,106.944181818
735,108.818363636
736,104.677636364
737,99.0803363636
738,97.6876727273
739,96.2788090909
740,94.2146818182
741,93.3708454545
742,93.8786818182
743,95.4725909091
744,91.9540636364
745,90.7886909091
746,94.0699909091
747,94.2962545455
748,95.9129636364
749,99.2604727273
750,98.3583545455
751,97.9518545455
752,99.4358272727
753,98.9538
754,103.444718182
755,101.276318182
756,102.2467
757,103.655636364
758,106.362090909
759,109.158454545
760,111.454
761,112.247363636
762,116.693454545
763,119.004363636
764,116.506272727
765,122.889
766,120.575545455
767,123.473272727
768,128.433636364
769,131.440909091
770,138.198272727
771,139.066545455
772,139.532818182
773,145.208545455
774,150.276454545
775,152.796272727
776,152.779272727
777,152.763
778,154.370545455
779,157.332727273
780,163.574272727
781,163.896
782,166.641545455
783,168.113909091
784,169.810636364
785,171.5
786,177.210272727
787,170.510272727
788,167.841636364
789,165.046727273
790,163.149636364
791,183.818363636
792,191.288818182
793,183.957454545
794,180.597545455
795,180.164727273
796,175.280727273
797,170.319
798,164.861272727
799,160.029727273
800,155.090090909
801,151.444727273
802,148.711090909
803,147.430272727
804,137.364
805,108.266172727
806,93.5648363636
807,95.8292090909
808,95.9640727273
809,89.7653363636
810,90.3042090909
811,90.7677090909
812,88.7259636364
813,89.5722090909
814,91.2429818182
815,89.4784636364
816,86.8075272727
817,91.1996363636
818,98.2536090909
819,98.5201181818
820,94.5116
821,94.6393545455
822,90.4485727273
823,88.2606818182
824,92.0899545455
825,95.8955
826,96.7622818182
827,97.4647363636
828,99.4095545455
829,111.281427273
830,116.495272727
831,114.303909091
832,108.696272727
833,106.557972727
834,110.518454545
835,119.630909091
836,124.990545455
837,120.518272727
838,119.047818182
839,115.622636364
840,118.295
841,117.862181818
842,115.831363636
843,112.415636364
844,102.280963636
845,102.906109091
846,107.443181818
847,105.998545455
848,98.4836818182
849,99.0453818182
850,97.4661
851,97.1528272727
852,100.023718182
853,97.9653181818
854,98.7161
855,100.007781818
856,99.6203
857,102.689290909
858,104.889536364
859,106.466272727
860,106.820545455
861,99.3588363636
862,103.332590909
863,95.9019181818
864,90.2515545455
865,86.0956454545
866,84.2169818182
867,82.3724727273
868,83.6028
869,81.2612090909
870,81.3461272727
871,80.0436727273
872,79.4589454545
873,79.4772545455
874,79.9966727273
875,79.6156272727
876,78.5383272727
877,85.8843272727
878,89.2059090909
879,92.2449818182
880,92.6362363636
881,90.2163363636
882,92.8626545455
883,88.4352454545
884,95.1173
885,95.6540454545
886,96.9358363636
887,95.6943454545
888,96.1349363636
889,99.3228727273
890,101.960454545
891,102.664754545
892,102.9366
893,106.989
894,108.667181818
895,111.111545455
896,112.427636364
897,113.914272727
898,117.761090909
899,117.751636364
900,122.155545455
901,130.253272727
902,127.438181818
903,126.404454545
904,131.700909091
905,135.318090909
906,137.978727273
907,141.256909091
908,139.008090909
909,150.446181818
910,144.305636364
911,147.226090909
912,149.402636364
913,151.569545455
914,150.235545455
915,152.156363636
916,158.065181818
917,155.709818182
918,152.069272727
919,148.192818182
920,150.985636364
921,143.589
922,144.321181818
923,141.555727273
924,139.743818182
925,135.612181818
926,132.130909091
927,127.902454545
928,116.961163636
929,89.2441636364
930,142.248454545
931,132.280909091
932,111.861636364
933,109.869727273
934,105.576454545
935,101.450954545
936,97.2980363636
937,94.2002
938,95.2162727273
939,100.111827273
940,94.7821727273
941,88.9479636364
942,86.2060181818
943,87.8820454545
944,85.8429454545
945,88.0509181818
946,84.0967090909
947,82.2352818182
948,82.3377272727
949,88.0480363636
950,88.5551363636
951,89.0670363636
952,84.6017545455
953,85.5794545455
954,86.3024545455
955,87.7360090909
956,83.8542363636
957,86.2192090909
958,83.4655363636
959,85.9541
960,95.8549818182
961,96.4473545455
962,96.4860636364
963,96.9909909091
964,98.5647727273
965,98.4879909091
966,99.2362909091
967,103.798809091
968,93.0580363636
969,88.4211
970,89.5654818182
971,92.7024636364
972,93.0264272727
973,89.7820636364
974,92.0972727273
975,92.3261181818
976,94.1276545455
977,98.1824272727
978,102.6947
979,109.986145455
980,102.985745455
981,97.7398454545
982,100.395436364
983,101.002418182
984,100.414918182
985,101.4734
986,101.992890909
987,102.898918182
988,105.99
989,105.085772727
990,106.620454545
991,107.077272727
992,103.267427273
993,105.425090909
994,99.8856818182
995,88.8439272727
996,86.5913636364
997,82.3655727273
998,83.885
999,79.7880818182
1000,80.1235272727
1001,76.9583909091
1002,79.9631272727
1003,78.4514
1004,77.9932
1005,81.1232727273
1006,78.7844818182
1007,76.2096090909
1008,76.4362727273
1009,79.9933727273
1010,82.7314818182
1011,81.2754181818
1012,79.0988181818
1013,83.2007090909
1014,81.0978090909
1015,81.9539545455
1016,82.6823
1017,81.5570727273
1018,83.0354454545
1019,82.4061454545
1020,84.1886909091
1021,86.6787909091
1022,89.1222181818
1023,90.7272272727
1024,89.9182090909
1025,87.1425636364
1026,101.736790909
1027,105.167672727
1028,99.1505454545
1029,99.0697090909
1030,101.869290909
1031,101.524536364
1032,105.211090909
1033,106.098181818
1034,107.413454545
1035,110.381272727
1036,112.864909091
1037,113.405454545
1038,114.703090909
1039,119.425818182
1040,115.377272727
1041,123.867818182
1042,129.140090909
1043,128.137181818
1044,131.416818182
1045,130.483727273
1046,131.205454545
1047,134.972
1048,134.797363636
1049,132.443181818
1050,128.634181818
1051,122.851727273
1052,124.865454545
1053,120.709727273
1054,121.932818182
1055,121.622909091
1056,119.541636364
1057,112.031727273
1058,111.098181818
1059,109.174454545
1060,105.264654545
1061,101.566645455
1062,96.1199818182
1063,92.1090909091
1064,91.3026727273
1065,91.7529181818
1066,85.0117545455
1067,80.2145454545
1068,78.8458636364
1069,83.3653818182
1070,81.1762272727
1071,76.7952363636
1072,77.2118636364
1073,72.6577181818
1074,72.0406909091
1075,72.0637272727
1076,71.4416454545
1077,69.1459
1078,71.3067727273
1079,67.7758636364
1080,70.8089363636
1081,73.907
1082,71.1583181818
1083,70.8768272727
1084,69.7802636364
1085,71.3433818182
1086,73.9853727273
1087,74.531
1088,72.9911636364
1089,74.4038090909
1090,75.4306363636
1091,79.9103363636
1092,81.4353363636
1093,80.5978818182
1094,79.7346
1095,81.2813818182
1096,84.5055181818
1097,85.0854909091
1098,83.0833
1099,81.5316181818
1100,78.7124454545
1101,82.2380181818
1102,82.2479181818
1103,83.8228818182
1104,81.0538818182
1105,83.0655818182
1106,84.3885454545
1107,88.9513363636
1108,90.8623545455
1109,86.4788818182
1110,90.4621636364
1111,92.1449363636
1112,90.4000818182
1113,95.4729
1114,100.852509091
1115,102.433745455
1116,101.902263636
1117,90.5832454545
1118,86.3459181818
1119,87.8842727273
1120,117.427709091
1121,116.146645455
1122,103.168
1123,108.160636364
1124,109.029181818
1125,108.628090909
1126,103.313790909
1127,103.8864
1128,103.918045455
1129,99.3768181818
1130,107.204181818
1131,109.283363636
1132,96.6228818182
1133,91.8537727273
1134,91.7246909091
1135,90.2992363636
1136,89.9852
1137,88.1308545455
1138,86.8206363636
1139,86.9552
1140,88.8230454545
1141,89.4107636364
1142,90.0883090909
1143,87.5568454545
1144,88.5556636364
1145,89.6750181818
1146,89.5070454545
1147,90.9844909091
1148,89.7856363636
1149,88.7403272727
1150,92.0776
1151,91.7323090909
1152,94.2638454545
1153,94.3390636364
1154,91.6887363636
1155,96.0936090909
1156,94.0640090909
1157,95.5911181818
1158,96.5225363636
1159,98.3445545455
1160,97.2332363636
1161,100.681263636
1162,102.328772727
1163,106.632090909
1164,107.463
1165,106.837727273
1166,111.805363636
1167,114.668
1168,114.311454545
1169,117.585818182
1170,118.291363636
1171,120.62
1172,124.562818182
1173,125.229818182
1174,127.958090909
1175,129.261636364
1176,131.715090909
1177,132.875363636
1178,140.682363636
1179,144.708090909
1180,143.069272727
1181,138.000818182
1182,137.972636364
1183,137.421454545
1184,135.543454545
1185,133.103545455
1186,128.486636364
1187,124.482545455
1188,121.760363636
1189,120.113818182
1190,121.108909091
1191,113.157090909
1192,109.581909091
1193,104.388463636
1194,101.809972727
1195,99.4146272727
1196,95.9338545455
1197,93.3875727273
1198,88.5371545455
1199,84.4048727273
1200,90.5031909091
1201,86.6795363636
1202,83.5746090909
1203,76.4310727273
1204,74.4242454545
1205,75.4017909091
1206,74.7522818182
1207,72.7193727273
1208,72.7722909091
1209,69.2985181818
1210,69.8057818182
1211,72.6650363636
1212,71.1185818182
1213,69.909
1214,67.4679636364
1215,67.1556545455
1216,69.4245
1217,72.7795818182
1218,70.4117727273
1219,73.7316545455
1220,72.0001454545
1221,72.0697454545
1222,76.3125272727
1223,76.6288454545
1224,77.4156181818
1225,78.2861363636
1226,78.2349727273
1227,83.4633727273
1228,93.3951090909
1229,86.5829545455
1230,88.3107818182
1231,84.3057454545
1232,85.1638545455
1233,93.5878909091
1234,92.5653818182
1235,91.3753272727
1236,91.7580090909
1237,94.0577363636
1238,90.0601
1239,52.2263909091
1240,38.8708545455
1241,74.8059909091
1242,102.213354545
1243,97.7211727273
1244,95.9176363636
1245,100.185954545
1246,100.937027273
1247,101.387927273
1248,103.816836364
1249,103.699163636
1250,105.640454545
1251,103.092590909
1252,103.566363636
1253,103.9502
1254,103.045081818
1255,102.868172727
1256,103.271363636
1257,102.104236364
1258,100.484163636
1259,99.4788545455
1260,98.8353
1261,98.1993909091
1262,97.6741909091
1263,96.3959090909
1264,97.4876818182
1265,98.0040909091
1266,97.1468545455
1267,98.0564090909
1268,95.8781
1269,95.8927636364
1270,96.6183818182
1271,100.946790909
1272,102.477554545
1273,103.027209091
1274,98.4640818182
1275,102.494827273
1276,100.2595
1277,99.8264636364
1278,101.999609091
1279,102.198245455
1280,100.657745455
1281,102.1272
1282,102.0212
1283,103.587272727
1284,104.396454545
1285,103.129363636
1286,105.779818182
1287,108.398181818
1288,107.141818182
1289,109.784818182
1290,110.912454545
1291,115.191
1292,115.310727273
1293,114.305454545
1294,119.400636364
1295,120.925636364
1296,122.899363636
1297,129.555909091
1298,130.498090909
1299,133.002454545
1300,133.671818182
1301,142.800818182
1302,141.185363636
1303,146.215363636
1304,151.958727273
1305,134.91
1306,157.073090909
1307,143.770636364
